date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty,accum_dist,atr,cmo,cmf,cci,ema_fast,ema_slow,hma_fast,hma_slow,mfi,obv,sma,percent_k,percent_d,smoothed_ma,true_range,ulti_osc,volatility,rsi,williams
2018-01-10 22:00:00,152.498,150.462,152.594,150.352,152.595,150.572,152.619,150.377,369228,37366830.680060014,2.002933149447423,-32.72928994082901,0.13205461683830808,-5.514553704016032,152.40596567059853,152.38229021833106,152.15374999999997,153.12047630718953,61.89049631301617,-6189019.0,152.58830000000003,0.0,0.487567987567989,152.06921932839845,-64.25970093831673,25.829773148856276,1.1319992204775384,35.77663336797576,-64.25970093831673
2018-01-11 22:00:00,150.462,150.538,151.0,150.185,150.572,150.693,151.023,150.206,327017,37429672.38018243,2.09713983450268,-28.58457574084328,0.08882496632297184,-7.10316185487774,151.9573737247438,152.16480632040302,150.90580740740742,152.58715343137254,47.09149832639249,-5862002.0,152.42340000000002,0.04108658743633603,0.16793018338010102,151.93159739555858,-64.0868907010954,24.010474318934723,0.9355366839098792,37.21992526761009,-64.0868907010954
2018-01-12 22:00:00,150.538,152.388,152.668,150.505,150.693,152.542,152.693,150.583,384477,37759119.97070375,2.1819258510524118,-1.8664333624961633,0.20664942564433447,-1.8022650517135972,152.1017225520574,152.22412574183656,150.91019814814814,152.20557344771242,49.381160167755084,-5477525.0,152.453,0.6689303904923611,0.23667232597623236,151.9926376560027,-61.44617889430012,27.550944656678457,0.9367292535251264,54.55877169087541,-61.44617889430012
2018-01-14 22:00:00,152.388,152.453,152.63,152.448,152.542,152.605,152.751,152.564,310,37758945.90653263,2.25823326594717,7.578848266122369,0.14835936300601582,0.9093705406906321,152.2056244524424,152.290248518907,151.6021648148148,151.9968448529412,57.136563008923524,-5477215.0,152.4465,0.6903225806451585,0.46677985285795187,152.05387389040243,-61.356203316242755,23.122167291796345,0.937845779892027,55.02898207774292,-61.356203316242755
2018-01-15 22:00:00,152.453,152.372,152.802,151.923,152.605,152.528,152.824,151.946,332311,37867192.99764879,2.3269099393524524,-5.369595536959959,0.2231456562541894,0.006909302763984577,152.2447573775707,152.33764241246794,152.3398833333333,151.9417217320262,62.679548125621075,-5809526.0,152.4871,0.6641765704584018,0.6744765138653072,152.10128650136218,-61.46617346720177,23.160975150475508,0.9431673315745477,54.26640997386059,-61.46617346720177
2018-01-16 22:00:00,152.372,152.28,153.09,152.039,152.528,152.401,153.116,152.06,339006,37747128.37264879,2.3887189454172066,-20.53588516746385,0.10079219931845351,0.41389380979715434,152.24140529366517,152.3529719771393,152.7327296296296,151.9642987745098,64.05216930224121,-6148532.0,152.4436,0.6210526315789514,0.6585172608941706,152.13125785122597,-61.647552807095195,21.27478652921016,0.9494399043583794,52.922409173669095,-61.647552807095195
2018-01-17 22:00:00,152.28,153.883,154.276,152.138,152.401,154.026,154.303,152.16,408877,38050304.08566793,2.4952470508754865,7.586206896552115,0.16563566393323445,4.214010329924662,152.6554719558435,152.59064612533524,153.3396314814815,152.23039297385623,65.55824961315426,-5739655.0,152.49880000000002,1.0,0.7617430673457845,152.32073206610337,-59.32675416672616,24.801663658757725,0.8886845573540508,65.18207132093082,-59.32675416672616
2018-01-18 22:00:00,153.883,154.302,154.572,153.612,154.026,154.436,154.593,153.637,373962,38301437.56265539,2.6321223457879386,12.73382291811025,0.22828562044412004,6.799684018095525,153.1144045831867,152.84618895970394,154.1048555555556,152.7274286764706,67.77452201991312,-5365693.0,152.5915,1.0,0.8736842105263172,152.53225885949303,-58.741198817463825,25.66844022902194,0.8005788890636811,67.55100806154331,-58.741198817463825
2018-01-19 22:00:00,154.302,153.449,154.402,153.103,154.436,153.574,154.505,153.125,364293,38174198.99309018,2.755310111209145,13.678915746821568,0.1393532947789592,4.7086898335762415,153.31969045880686,152.95619367273156,154.31275185185186,153.2346875,59.28540954596845,-5729986.0,152.59720000000002,0.7769151138716373,0.9256383712905457,152.63643297354372,-59.97229323469342,26.1716600661407,0.7975057128702265,58.286922499964824,-59.97229323469342
2018-01-21 22:00:00,153.449,153.55,153.747,153.525,153.574,153.703,153.852,153.656,625,38173873.737988144,2.8661791000882313,59.49078472354229,0.17311192892410088,4.309943341376848,153.50829881052263,153.06301741305103,154.21542777777782,153.66941928104575,67.86519885280904,-5729361.0,152.70800000000003,0.8103002070393366,0.8624051069703246,152.74308967618936,-59.7880575272426,20.812313690018044,0.768205563027939,59.216938630134024,-59.7880575272426
